Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W14X311,W14X311,311,91.4,17.1,,,16.2,,1.41,2.26,,,4330,1610,136
W,W14X283,W14X283,283,83.3,16.7,,,16.1,,1.29,2.07,,,3840,1440,104
W,W14X257,W14X257,257,75.6,16.4,,,16,,1.18,1.89,,,3400,1290,79.1
W,W14X233,W14X233,233,68.5,16,,,15.9,,1.07,1.72,,,3010,1150,59.5
W,W14X211,W14X211,211,62,15.7,,,15.8,,0.98,1.56,,,2660,1030,44.6
W,W14X193,W14X193,193,56.8,15.5,,,15.7,,0.89,1.44,,,2400,931,34.8
W,W14X176,W14X176,176,51.8,15.2,,,15.7,,0.83,1.31,,,2140,838,26.5
W,W14X159,W14X159,159,46.7,15,,,15.6,,0.745,1.19,,,1900,748,19.7
W,W14X145,W14X145,145,42.7,14.8,,,15.5,,0.68,1.09,,,1710,677,15.2
W,W14X132,W14X132,132,38.8,14.7,,,14.7,,0.645,1.03,,,1530,548,12.3
W,W14X120,W14X120,120,35.3,14.5,,,14.7,,0.59,0.94,,,1380,495,9.37
W,W14X109,W14X109,109,32,14.3,,,14.6,,0.525,0.86,,,1240,447,7.12
W,W14X99,W14X99,99,29.1,14.2,,,14.6,,0.485,0.78,,,1110,402,5.37
W,W14X90,W14X90,90,26.5,14,,,14.5,,0.44,0.71,,,999,362,4.06
W,W14X82,W14X82,82,24,14.3,,,10.1,,0.51,0.855,,,881,148,5.07
W,W14X74,W14X74,74,21.8,14.2,,,10.1,,0.45,0.785,,,795,134,3.87
W,W14X68,W14X68,68,20,14,,,10,,0.415,0.72,,,722,121,3.01
W,W14X61,W14X61,61,17.9,13.9,,,10,,0.375,0.645,,,640,107,2.19
W,W14X53,W14X53,53,15.6,13.9,,,8.06,,0.37,0.66,,,541,57.7,1.94
W,W14X48,W14X48,48,14.1,13.8,,,8.03,,0.34,0.595,,,484,51.4,1.45
W,W14X43,W14X43,43,12.6,13.7,,,8,,0.305,0.53,,,428,45.2,1.05
W,W14X38,W14X38,38,11.2,14.1,,,6.77,,0.31,0.515,,,385,26.7,0.798
W,W14X34,W14X34,34,10,14,,,6.75,,0.285,0.455,,,340,23.3,0.569
W,W14X30,W14X30,30,8.85,13.8,,,6.73,,0.27,0.385,,,291,19.6,0.38
W,W14X26,W14X26,26,7.69,13.9,,,5.03,,0.255,0.42,,,245,8.91,0.358
W,W14X22,W14X22,22,6.49,13.7,,,5,,0.23,0.335,,,199,7,0.208
W,W12X336,W12X336,336,98.9,16.8,,,13.4,,1.78,2.96,,,4060,1190,243
W,W12X305,W12X305,305,89.5,16.3,,,13.2,,1.63,2.71,,,3550,1050,185
W,W12X279,W12X279,279,81.9,15.9,,,13.1,,1.53,2.47,,,3110,937,143
W,W12X252,W12X252,252,74.1,15.4,,,13,,1.4,2.25,,,2720,828,108
W,W12X230,W12X230,230,67.7,15.1,,,12.9,,1.29,2.07,,,2420,742,83.8
W,W12X210,W12X210,210,61.8,14.7,,,12.8,,1.18,1.9,,,2140,664,64.7
W,W12X190,W12X190,190,56,14.4,,,12.7,,1.06,1.74,,,1890,589,48.8
W,W12X170,W12X170,170,50,14,,,12.6,,0.96,1.56,,,1650,517,35.6
W,W12X152,W12X152,152,44.7,13.7,,,12.5,,0.87,1.4,,,1430,454,25.8
W,W12X136,W12X136,136,39.9,13.4,,,12.4,,0.79,1.25,,,1240,398,18.5
W,W12X120,W12X120,120,35.2,13.1,,,12.3,,0.71,1.11,,,1070,345,12.9
W,W12X106,W12X106,106,31.2,12.9,,,12.2,,0.61,0.99,,,933,301,9.13
W,W12X96,W12X96,96,28.2,12.7,,,12.2,,0.55,0.9,,,833,270,6.85
W,W12X87,W12X87,87,25.6,12.5,,,12.1,,0.515,0.81,,,740,241,5.1
W,W12X79,W12X79,79,23.2,12.4,,,12.1,,0.47,0.735,,,662,216,3.84
W,W12X72,W12X72,72,21.1,12.3,,,12,,0.43,0.67,,,597,195,2.93
W,W12X65,W12X65,65,19.1,12.1,,,12,,0.39,0.605,,,533,174,2.18
W,W12X58,W12X58,58,17,12.2,,,10,,0.36,0.64,,,475,107,2.1
W,W12X53,W12X53,53,15.6,12.1,,,10,,0.345,0.575,,,425,95.8,1.58
W,W12X50,W12X50,50,14.6,12.2,,,8.08,,0.37,0.64,,,391,56.3,1.71
W,W12X45,W12X45,45,13.1,12.1,,,8.05,,0.335,0.575,,,348,50,1.26
W,W12X40,W12X40,40,11.7,11.9,,,8.01,,0.295,0.515,,,307,44.1,0.906
W,W12X35,W12X35,35,10.3,12.5,,,6.56,,0.3,0.52,,,285,24.5,0.741
W,W12X30,W12X30,30,8.79,12.3,,,6.52,,0.26,0.44,,,238,20.3,0.457
W,W12X26,W12X26,26,7.65,12.2,,,6.49,,0.23,0.38,,,204,17.3,0.3
W,W12X22,W12X22,22,6.48,12.3,,,4.03,,0.26,0.425,,,156,4.66,0.293
W,W12X19,W12X19,19,5.57,12.2,,,4.01,,0.235,0.35,,,130,3.76,0.18
W,W12X16,W12X16,16,4.71,12,,,3.99,,0.22,0.265,,,103,2.82,0.103
W,W12X14,W12X14,14,4.16,11.9,,,3.97,,0.2,0.225,,,88.6,2.36,0.0704
W,W10X112,W10X112,112,32.9,11.4,,,10.4,,0.755,1.25,,,716,236,15.1
W,W10X100,W10X100,100,29.3,11.1,,,10.3,,0.68,1.12,,,623,207,10.9
W,W10X88,W10X88,88,26,10.8,,,10.3,,0.605,0.99,,,534,179,7.53
W,W10X77,W10X77,77,22.7,10.6,,,10.2,,0.53,0.87,,,455,154,5.11
W,W10X68,W10X68,68,19.9,10.4,,,10.1,,0.47,0.77,,,394,134,3.56
W,W10X60,W10X60,60,17.7,10.2,,,10.1,,0.42,0.68,,,341,116,2.48
W,W10X54,W10X54,54,15.8,10.1,,,10,,0.37,0.615,,,303,103,1.82
W,W10X49,W10X49,49,14.4,10,,,10,,0.34,0.56,,,272,93.4,1.39
W,W10X45,W10X45,45,13.3,10.1,,,8.02,,0.35,0.62,,,248,53.4,1.51
W,W10X39,W10X39,39,11.5,9.92,,,7.99,,0.315,0.53,,,209,45,0.976
W,W10X33,W10X33,33,9.71,9.73,,,7.96,,0.29,0.435,,,171,36.6,0.583
W,W10X30,W10X30,30,8.84,10.5,,,5.81,,0.3,0.51,,,170,16.7,0.622
W,W10X26,W10X26,26,7.61,10.3,,,5.77,,0.26,0.44,,,144,14.1,0.402
W,W10X22,W10X22,22,6.49,10.2,,,5.75,,0.24,0.36,,,118,11.4,0.239
W,W10X19,W10X19,19,5.62,10.2,,,4.02,,0.25,0.395,,,96.3,4.29,0.233
W,W10X17,W10X17,17,4.99,10.1,,,4.01,,0.24,0.33,,,81.9,3.56,0.156
W,W10X15,W10X15,15,4.41,9.99,,,4,,0.23,0.27,,,68.9,2.89,0.104
W,W10X12,W10X12,12,3.54,9.87,,,3.96,,0.19,0.21,,,53.8,2.18,0.0547
W,W8X67,W8X67,67,19.7,9,,,8.28,,0.57,0.935,,,272,88.6,5.05
W,W8X58,W8X58,58,17.1,8.75,,,8.22,,0.51,0.81,,,228,75.1,3.33
W,W8X48,W8X48,48,14.1,8.5,,,8.11,,0.4,0.685,,,184,60.9,1.96
